Integrais por Barra PC
Tempo;Resultado;Erro;A;B
0.001;2496.61;3.38871;0;10
0;2496;3.99803;0;10
0;2495.33;4.66716;0;10
0;2494.6;5.39606;0;10
0.001;2499.72;0.280425;0;10
0;2498.88;1.12025;0;10
0;2497.98;2.01983;0;10
0;2497.02;2.97911;0;10
0.001;2496;3.99804;0;10
0;2494.92;5.07657;0;10
0;2499.75;0.250436;0;10
0;2498.56;1.44014;0;10
0;2497.31;2.68936;0;10
0;2496;3.99805;0;10
0;2494.63;5.36613;0;10
0.001;2499.22;0.780362;0;10
0;2497.74;2.25969;0;10
0;2496.2;3.79829;0;10
0;2494.6;5.39608;0;10
0;2499;1.00031;0;10
0;2497.29;2.70936;0;10
0;2495.52;4.47745;0;10
0;2499.78;0.220456;0;10
0;2497.9;2.0998;0;10
0.001;2495.96;4.03802;0;10
0;2493.97;6.035;0;10
0;2498.03;1.96989;0;10
0;2495.92;4.07797;0;10
0.001;2499.9;0.100471;0;10
0;2497.68;2.31967;0;10
0;2495.4;4.5973;0;10
0;2499.24;0.760391;0;10
0.001;2496.85;3.14899;0;10
0;2494.4;5.59578;0;10
0;2498.1;1.89994;0;10
0;2495.54;4.4575;0;10
0.001;2499.15;0.850377;0;10
0;2496.48;3.51863;0;10
0;2500;0.000488282;0;10
0;2497.22;2.77933;0;10
0.001;2494.38;5.61575;0;10
0;2497.76;2.23974;0;10
0;2494.81;5.18646;0;10
0;2498.1;1.89995;0;10
0;2495.04;4.95681;0;10
0;2498.24;1.76003;0;10
0;2495.07;4.92686;0;10
0;2498.18;1.82001;0;10
0.001;2494.9;5.0966;0;10
0;2497.92;2.07986;0;10
0;2494.53;5.46602;0;10
0;2497.46;2.53954;0;10
0.001;2493.96;6.03504;0;10
0;2496.8;3.19898;0;10
0;2499.6;0.40049;0;10
0;2495.94;4.05804;0;10
0.001;2498.65;1.35024;0;10
0;2494.88;5.11659;0;10
0;2497.5;2.49958;0;10
0;2493.63;6.37442;0;10
0;2496.15;3.8483;0;10
0;2498.64;1.36025;0;10
0;2494.6;5.39615;0;10
0;2497;2.99918;0;10
0;2499.36;0.640468;0;10
0.001;2495.16;4.83702;0;10
0;2497.43;2.56954;0;10
0;2499.66;0.340517;0;10
0;2495.3;4.69722;0;10
0;2497.44;2.55955;0;10
0.001;2499.54;0.460508;0;10
0;2495.02;4.97682;0;10
0;2497.03;2.96922;0;10
0;2499;1.00039;0;10
0.001;2494.32;5.67571;0;10
0;2496.2;3.79838;0;10
0;2498.04;1.95997;0;10
0;2499.84;0.160547;0;10
0;2494.95;5.04673;0;10
0.001;2496.66;3.33888;0;10
0;2498.33;1.67014;0;10
0;2499.96;0.0405575;0;10
0;2494.86;5.1366;0;10
0;2496.4;3.59862;0;10
0.001;2497.9;2.0999;0;10
0;2499.36;0.640503;0;10
0;2494.05;5.94526;0;10
0;2495.42;4.57742;0;10
0;2496.75;3.24899;0;10
0;2498.04;1.95999;0;10
0;2499.29;0.710497;0;10
0;2493.73;6.27466;0;10
0;2494.88;5.11664;0;10
0.001;2496;3.99818;0;10
0;2497.08;2.9193;0;10
0;2498.12;1.88005;0;10
0;2499.12;0.880467;0;10
0;2493.25;6.75373;0;10
0.001;2494.15;5.84545;0;10
0;2495.02;4.97687;0;10
0;2495.85;4.14801;0;10
0;2496.64;3.3589;0;10
0;2497.39;2.60957;0;10
0.001;2498.1;1.90005;0;10
0;2498.77;1.23037;0;10
0;2499.4;0.600545;0;10
0;2499.99;0.0106003;0;10
0.001;2493.61;6.39446;0;10
0;2494.1;5.89538;0;10
0;2494.56;5.43617;0;10
0;2494.98;5.01683;0;10
0;2495.36;4.63738;0;10
0.001;2495.7;4.29784;0;10
0;2496;3.99821;0;10
0;2496.26;3.73852;0;10
0;2496.48;3.51876;0;10
0;2496.66;3.33894;0;10
0.001;2496.8;3.19908;0;10
0;2496.9;3.09918;0;10
0;2496.96;3.03924;0;10
0;2496.98;3.01926;0;10
0;2496.96;3.03924;0;10
0.001;2496.9;3.09919;0;10
0;2496.8;3.19909;0;10
0;2496.66;3.33896;0;10
0;2496.48;3.51878;0;10
0;2496.26;3.73854;0;10
0.001;2496;3.99824;0;10
0;2495.7;4.29787;0;10
0;2495.36;4.63741;0;10
0;2494.98;5.01686;0;10
0;2494.56;5.43621;0;10
0.001;2494.1;5.89543;0;10
0;2493.61;6.39451;0;10
0;2493.07;6.93343;0;10
0;2499.7;0.300638;0;10
0;2499.09;0.910529;0;10
0.001;2498.44;1.56029;0;10
0;2497.75;2.2499;0;10
0;2497.02;2.97933;0;10
0;2496.25;3.74855;0;10
0;2495.44;4.55754;0;10
0;2494.59;5.40627;0;10
0;2493.71;6.29471;0;10
0;2492.78;7.22283;0;10
0;2499.12;0.880554;0;10
0;2498.12;1.88014;0;10
0;2497.08;2.91939;0;10
0.001;2496;3.99828;0;10
0;2494.88;5.11675;0;10
0;2493.73;6.27476;0;10
0;2499.9;0.100679;0;10
0;2498.67;1.33042;0;10
0.001;2497.4;2.59967;0;10
0;2496.09;3.90839;0;10
0;2494.74;5.25654;0;10
0;2493.36;6.64406;0;10
0;2499.36;0.64063;0;10
0.001;2497.9;2.10003;0;10
0;2496.4;3.59875;0;10
0;2494.86;5.13674;0;10
0;2493.29;6.71393;0;10
0;2499.15;0.850593;0;10
0.001;2497.5;2.49977;0;10
0;2495.81;4.18807;0;10
0;2494.08;5.91545;0;10
0;2499.84;0.160705;0;10
0;2498.04;1.96013;0;10
0.001;2496.2;3.79855;0;10
0;2494.32;5.67588;0;10
0;2499.97;0.0307162;0;10
0;2498.02;1.98013;0;10
0;2496.03;3.96836;0;10
0;2494;5.99532;0;10
0.001;2499.54;0.460692;0;10
0;2497.44;2.55974;0;10
0;2495.3;4.69741;0;10
0;2493.13;6.87363;0;10
0;2498.55;1.45042;0;10
0.001;2496.3;3.69868;0;10
0;2494.01;5.98535;0;10
0;2499.36;0.640676;0;10
0;2497;2.99939;0;10
0;2494.6;5.39637;0;10
0;2499.87;0.13074;0;10
0.001;2497.4;2.59973;0;10
0;2494.89;5.10683;0;10
0;2492.35;7.65195;0;10
0;2497.5;2.49981;0;10
0;2494.88;5.11682;0;10
0.001;2499.99;0.0107546;0;10
0;2497.3;2.69966;0;10
0;2494.57;5.42634;0;10
0;2499.6;0.400736;0;10
0;2496.8;3.19923;0;10
0;2493.96;6.03529;0;10
0.001;2498.91;1.09059;0;10
0;2496;3.99837;0;10
0;2493.06;6.94353;0;10
0;2497.92;2.08012;0;10
0;2494.9;5.09687;0;10
0;2499.72;0.280764;0;10
0;2496.63;3.36907;0;10
0;2493.51;6.49444;0;10
0;2498.24;1.76032;0;10
0;2495.04;4.95709;0;10
0;2499.73;0.270775;0;10
0;2496.46;3.53891;0;10
0;2493.16;6.84375;0;10
0;2497.76;2.24004;0;10
0;2494.38;5.61606;0;10
0;2498.94;1.06063;0;10
0.001;2495.49;4.50775;0;10
0;2500;0.0008;0;10
0;2496.48;3.51894;0;10
0;2492.93;7.07329;0;10
0;2497.35;2.64975;0;10
0;2493.73;6.27489;0;10
0;2498.1;1.90027;0;10
0;2494.4;5.59611;0;10
0;2498.73;1.27057;0;10
0;2494.96;5.03701;0;10
0;2499.24;0.760731;0;10
0.001;2495.4;4.59765;0;10
0;2499.63;0.370802;0;10
0;2495.72;4.27808;0;10
0;2499.9;0.100825;0;10
0;2495.92;4.07833;0;10
0;2491.91;8.09099;0;10
0;2496;3.99843;0;10
0;2491.92;8.08102;0;10
0;2495.96;4.03839;0;10
0;2499.99;0.0108384;0;10
0;2495.8;4.19819;0;10
0.001;2499.78;0.220835;0;10
0;2495.52;4.47783;0;10
0;2499.45;0.550801;0;10
